Salary;Work_Type;Company_Size;Role;Company;Persent
51200;неполный рабочий день;128742;региональный директор по продажам;Bajaj Finserv;100%
46400;контракт;24654;аналитик по логистике;PulteGroup;98%
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation;114%
52000;контракт;92865;аналитик по обеспечению качества;Group 1 Automotive;87%
51200;контракт;32898;аналитик по обеспечению качества;Altria Group;89%
48000;Полная занятость;93691;Специалист по документации;Reynolds American Inc.;105%
44000;полный рабочий день;76275;финансовый бухгалтер;Huntsman;101%
44800;контракт;49909;представитель по внутренним продажам;Вкусно и точка;101%
50400;контракт;14944;менеджер по работе со стратегическими клиентами;Republic Services;90%
44000;Стажер;129177;Аналитик по сетевой безопасности;Republic Services;118%
48800;Стажер;72619;Менеджер по инвентаризации;Continental AG;106%
44800;контракт;112909;инженер по автоматизированному тестированию;Tesla;101%
52000;Полная занятость;64602;Дизайнер пользовательского интерфейса;Continental Resources;96%
45600;Полная занятость;61676;торговый представитель;Henkel AG & Co. KGaA;110%
50400;стажер;106271;консультант по устойчивому развитию;WESCO International;90%
47200;временная;36167;инженер по электронному оборудованию;Unilever;110%
52000;временная;117330;специалист по системной интеграции;NRG Energy;100%
44800;Полная занятость;80811;Бренд-стратег;InterContinental Hotels Group;112%
44000;полный рабочий день;122985;инженер-электрик;Revlon;101%
48800;временная;18123;медсестра-практикант по оказанию неотложной помощи;Ceconomy AG;106%
46400;неполный рабочий день;103289;судебный адвокат;Constellation Brands;110%
48000;контракт;42479;инженер по сетевой безопасности;Interpublic Group;95%
45600;временная;25355;психолог-исследователь;Auto-Owners Insurance;114%
51200;неполный рабочий день;87550;координатор художественного образования;ODP;100%
46400;неполный рабочий день;38678;менеджер по привлечению талантов;Titan Company;110%
48800;контракт;61963;классный руководитель;страховая биржа Farmers;93%
44000;контракт;83361;специалист по контролю за запасами;Publix Super Markets;103%
46400;контракт;53541;корпоративный юрист;Otis Worldwide;98%
46400;неполный рабочий день;28546;разработчик баз данных SQL;US Foods Holding;110%
47200;временная;131928;менеджер по закупкам;Croda International;110%
50400;Стажер;31092;IT-аналитик;Travelers;103%
44000;Стажер;39646;Практикующая медсестра по оказанию неотложной помощи;Textron;118%
49600;стажер;71394;менеджер по работе с ключевыми клиентами;Ulta Beauty;91%
48800;временная;70396;креативный копирайтер;American Electric Power;106%
51200;Стажер;97571;Менеджер по закупкам;UnitedHealth Group;101%
47200;временная;84264;SEO-специалист;Tencent Holdings;110%
51200;Контракт;50052; фронт-энд разработчик;Otis Worldwide;100%
48800;Контракт;72807;Координатор мероприятий;Tullow Oil;104%
49600;полная занятость;130966; руководитель отдела по работе с клиентами;Qualcomm;104%
51200;контракт;102861;консультант по продажам B2B;AutoNation;89%
47200;неполный рабочий день;86718;разработчик баз данных;Peter Kiewit Sons;108%
44800;контракт;120930;менеджер строительных проектов;General Mills;101%
48000;полный рабочий день;16792;менеджер по социальным сетям;Western Digital;93%
48000;Полная занятость;25307;Instructional Designer;PNC Financial Services Group;105%
48800;частичная занятость;50004;контент-стратег;Farmers Insurance Exchange;106%
52000;стажер;106859;координатор обучения;CIMIC Group;87%
52000;Временная;15831;Координатор по подбору персонала;Alibaba Health Information Technology;100%
52000;неполный рабочий день;56816;менеджер по стратегическим партнерствам;Tenet Healthcare;98%
50400;Стажер;43783; Java бэкэнд разработчик;Exelon;103%
51200;неполный рабочий день;32405;руководитель группы продаж;SAP SE;100%
50400;временная;88586;детский логопед;IBM (International Business Machines Corporation);103%
44000;контракт;18697;инженер по большим данным;Fidelity Investments;103%
50400;стажер;12938;инженер по базам данных NoSQL;Intercontinental Exchange;90%
44800;стажер;28874;планировщик спроса;Power Grid Corporation of India;101%
48000;стажер;88454;свадебный дизайнер;Consolidated Edison;95%
48000;неполный рабочий день;75509;организатор мероприятий;Northrop Grumman;106%
48000;полный рабочий день;70223;техник по поддержке настольных компьютеров;Corteva;93%
44000;стажер;24942;портфельный менеджер;Icahn Enterprises;103%
49600;контракт;19832;гериатрическая медсестра-практикант;Colgate-Palmolive;91%
46400;временная;44367;JavaScript разработчик;SF Express;112%
44000;контракт;114433;менеджер по работе с клиентами;Huntsman;103%
47200;стажер;79091;координатор закупок;Dover;96%
52000;частичная занятость;69645;инженер по большим данным;Lendlease Group;100%
45600;Полная занятость;108139;Специалист по планированию перевозок;Asbury Automotive Group;110%
52000;Полная занятость;54319;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation;96%
45600;временный;126754;логопед для взрослых;Britannia Industries;105%
44800;Контракт;126200;Координатор льгот;Muthoot Finance;114%
49600;контракт;57845;дизайнер интерьера;Dana;91%
44800;полный рабочий день;127707;инвестиционный аналитик;Aflac;100%
44800;стажер;67492;менеджер кампаний по электронной почте;Quanta Services;101%
48800;контракт;105454;специалист по устойчивому развитию;Ashtead Group;93%
48000;частичная занятость;67760; Разработчик серверных приложений;Glenmark Pharmaceuticals;108%
46400;полный рабочий день;31344;системный администратор;Eastman Chemical;96%
48000;неполный рабочий день;35925;инженер-проектировщик;Carnival Corporation & plc;106%
50400;временная;125215;координатор маркетинговых исследований;Adani Green Energy;103%
44000;контракт;102180;агент колл-центра;Textron;103%
44800;Временная;28776;Менеджер по работе с клиентами;Fiat Chrysler Automobiles N.V.;116%
48800;Полная занятость;98633;Дизайнер по охране окружающей среды;Газировка;103%
48000;контракт;50314;менеджер по работе с клиентами; BYD Company;95%
49600; Полная занятость;44564;Дизайнер пользовательского интерфейса; Delta Air Lines;95%
50400;временный;90785;IT бизнес-аналитик;Kinder Morgan;95%
48800;стажер;42637;дизайнер интерфейсов;Avnet;93%
44800;контракт;116311;аналитик социальных сетей;Workspace Group;101%
48000;временный;55939;Дизайнер пользовательского интерфейса;CDW;100%
50400;Стажер;68931;JavaScript разработчик;Tencent Holdings;103%
52000;контракт;17240;юрист по вопросам опеки над детьми;Halma;87%
47200;временная;126334;инженер беспроводных сетей;Lendlease Group;110%
46400;Стажер;97779; специалист по анализу данных;AES;112%
48800;контракт;123227;дизайнер взаимодействия;LKQ;93%
49600;временный;104205;специалист по клинической медсестре;Bajaj Auto;96%
47200;контракт;110052;юрист по опеке над детьми;Salesforce;96%
47200;контракт;16918;юридический секретарь;Siemens India;96%
52000;Стажер;124651;Бренд-менеджер по продукции;NextEra Energy;100%
48000;стажер;108319;аналитик по контролю качества;Computacenter;95%
52000;Полная занятость;31928; Специалист по анализу данных;ВК;96%
47200;контракт;132326;Sales Account Executive;Hershey;96%
52000;временная;55283;инженер по системам электропитания;TAG Immobilien AG;100%
50400;Полная занятость;128578;Специалист по сетевой безопасности;Блок;100%
44800;Полная занятость;78913; Менеджер по работе с клиентами;Linde plc;112%
47200;неполный рабочий день;48567;дизайнер коммерческого интерьера;Nucor;108%
44800;временная;130176;консультант по работе с зависимыми людьми;Gree Electric Appliances;116%
47200;стажер;33129;архитектор облачных вычислений;DCP Midstream;96%
48000; Полная занятость;21839;бизнес-аналитик данных;Balfour Beatty;98%
44800;контракт;131126;координатор цепочки поставок;Ameriprise Financial;101%
47200;неполный рабочий день;76529;разработчик мобильных приложений;Банковская группа;108%
48000;контракт;49446;директор по уходу за больными;MetLife;95%
52000;полный рабочий день;56862;ветеринар мелких животных;American Tower;86%
49600;контракт;33592;инженер-химик;Expedia Group;91%
49600;временная;90814;аналитик по исследованию рынка;Archer Daniels Midland;104%
45600;контракт;34509;менеджер по инфраструктуре;Steel Dynamics;100%
44800;Полная занятость;29841;QA Tester;Nestle India;112%
44000;Стажер;72707;Аналитик по логистике;Playtech;118%
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies;93%
51200;временная;57908;менеджер по контролю качества;Графическая упаковка;101%
52000;Неполный рабочий день;14167;Менеджер по работе с клиентами;Jubilant Foodworks;90%
50400;Временная;122077; Веб-разработчик; AGCO;103%
48800;временная;72890;разработчик баз данных;Diageo;106%
50400;Неполный рабочий день;51195;Юридический секретарь;Continental Resources;93%
44000;неполный рабочий день;118838;специалист по продажам медицинских услуг;Eversource Energy;116%
44800;полный рабочий день;118067;офисный координатор;Аэрофлот;100%
44000;контракт;35498;дизайнер взаимодействия;Avantor;103%
45600;стажер;76972;дизайнер взаимодействия;Здоровье;100%
44800;контракт;37063;представитель по внутренним продажам;BHEL;101%
47200;полный рабочий день;37773;испытатель автоматики;Marathon Oil;94%
48800;временный;40994;Дизайнер пользовательского интерфейса;Geely Automobile Holdings;98%
49600; Полная занятость;77933;менеджер по работе с клиентами;Williams;95%
48800;временная;84357;архитектор проектов;AES;106%
45600; частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries;107%
47200;неполный рабочий день;130927;тестировщик производительности;Burberry Group;108%
